TARIFF.CODE,TARIFF.CODE_illicit_sum,TARIFF.CODE_illicit_rate
1001100000,5,0.5
1001190000,0,0.0
1001900000,4,0.10526315789473684
1001990004,2,1.0
1003900000,2,0.5
1005100000,4,0.5714285714285714
1005900000,2,0.05714285714285714
1006301000,5,0.45454545454545453
1006301031,1,0.125
1006301039,2,0.2857142857142857
1006306590,0,0.0
1006306790,2,0.3333333333333333
1006309410,0,0.0
1007900000,0,0.0
1008300090,0,0.0
101210001,0,0.0
101210009,1,0.3333333333333333
101900000,2,0.5
105119100,1,1.0
105119901,0,0.0
105940000,0,0.0
106391010,1,0.5
106398010,2,0.6666666666666666
1101001500,2,0.4
1102909000,0,0.0
1103111090,1,0.16666666666666666
1104120000,1,0.1
1104129000,0,0.0
1105200000,2,0.16666666666666666
1106100000,1,0.3333333333333333
1106202000,1,0.5
1107100000,1,0.125
1107109902,0,0.0
1107200000,2,0.3333333333333333
1108110010,1,0.3333333333333333
1108120009,0,0.0
1108120012,2,0.07142857142857142
1108130015,1,0.5
1108199010,1,0.5
1200000000,1,0.3333333333333333
1201900000,0,0.0
1202420000,0,0.0
1206009100,1,1.0
1206009900,3,0.3
1207209000,1,0.3333333333333333
1207409000,1,1.0
1209294504,2,0.5
1209918099,4,0.6666666666666666
1211901000,0,0.0
1214100000,0,0.0
1302130000,0,0.0
1302190000,4,0.36363636363636365
1302197003,0,0.0
1302197009,3,0.5
1302200000,0,0.0
1302201000,0,0.0
1302320000,1,0.2
1302390000,1,0.1111111111111111
1404900099,0,0.0
1500000000,1,0.25
1504100000,0,0.0
1507109009,0,0.0
1507909009,0,0.0
1509100019,2,0.3333333333333333
1509109021,1,0.25
1509109081,0,0.0
1509109082,0,0.0
1509909000,4,0.8
1510009081,1,1.0
1511101000,2,0.2222222222222222
1511909000,4,0.5714285714285714
1511909990,1,0.25
1512199001,4,0.5714285714285714
1512199002,1,0.3333333333333333
1513110000,1,0.1111111111111111
1513219000,2,0.4
1515219000,2,0.5
1515300000,1,0.3333333333333333
1515909000,1,0.2
1515909909,1,1.0
1516200021,1,0.05
1516209100,0,0.0
1516209600,1,0.5
1516209801,0,0.0
1517100000,4,0.2222222222222222
1517109000,1,0.3333333333333333
1517909000,0,0.0
1517909100,1,0.3333333333333333
1517909300,2,0.6666666666666666
1518003900,0,0.0
1521100000,1,0.25
1521909101,2,0.2222222222222222
1521909901,1,0.25
1601009000,3,0.6
1601009100,1,0.5
1602209000,0,0.0
1602311900,1,0.3333333333333333
1602491900,1,0.25
1604139000,4,0.2857142857142857
1604141101,1,0.25
1604144101,1,0.25
1604150000,2,0.15384615384615385
1604200500,1,0.5
1604207000,0,0.0
1701110000,3,0.23076923076923078
1701910002,1,0.5
1701991009,3,0.6
1701999000,3,0.375
1701999092,1,1.0
1701999099,3,0.6
1702110000,2,0.2222222222222222
1702110091,1,0.5
1702300000,3,0.23076923076923078
1702305010,0,0.0
1702305090,1,1.0
1702309099,0,0.0
1702409010,1,0.5
1702409099,0,0.0
1702900000,2,0.10526315789473684
1702905091,0,0.0
1702909599,0,0.0
1703100001,0,0.0
1704100000,5,0.29411764705882354
1704109001,1,0.5
1704900000,2,0.2222222222222222
1704905106,0,0.0
1704905109,1,0.5
1704905500,0,0.0
1704906501,0,0.0
1704907109,0,0.0
1704908100,3,0.75
1704909902,1,0.5
1704909903,0,0.0
1801000010,0,0.0
1801002000,0,0.0
1805000000,1,0.16666666666666666
1806200000,1,0.2
